NumThreads,Dim,InitTime,MulTime,Runtime
20,1000,0.0090004,0.0665655,0.0755659
20,1500,0.0176167,0.217133,0.234749
20,1500,0.0303669,0.218349,0.248716
20,1500,0.0195824,0.232794,0.252377
20,1500,0.0208332,0.220274,0.241107
20,1500,0.0244495,0.217829,0.242279
20,2000,0.0346209,1.19397,1.22859
20,2000,0.036253,1.16304,1.1993
20,2000,0.0461104,1.17527,1.22138
20,2000,0.0354837,1.19016,1.22564
20,2000,0.0312839,1.20056,1.23184
20,2500,0.066796,2.07548,2.14227
20,2500,0.0527012,2.07092,2.12362
20,2500,0.0489406,2.11576,2.1647
20,2500,0.0530645,2.13114,2.1842
20,2500,0.0682078,2.06695,2.13516
